Customer ID,Charging Level,Start Time(Minutes from 00:00 AM),Duration(Minutes)
24,2,1035 min,20 min
42,2,730 min,20 min
208,2,960 min,20 min
9,2,815 min,15 min
66,2,925 min,35 min
21,2,1050 min,15 min
139,2,665 min,25 min
14,2,1010 min,30 min
48,2,1080 min,20 min
1,2,445 min,20 min
102,2,825 min,20 min
168,2,1325 min,20 min
52,2,470 min,20 min
83,2,950 min,25 min
114,2,880 min,25 min
99,2,1045 min,20 min
215,2,755 min,25 min
131,2,960 min,20 min
174,2,925 min,20 min
86,2,1215 min,15 min
209,2,850 min,85 min
8,2,780 min,15 min
