Customer ID,Charging Level,Start Time(Minutes from 00:00 AM),Duration(Minutes)
118,1,875 min,2470 min
128,2,1335 min,15 min
113,1,1165 min,3600 min
208,1,985 min,1455 min
174,2,800 min,30 min
94,1,1120 min,175 min
55,2,1310 min,20 min
162,2,1395 min,20 min
8,2,895 min,50 min
194,1,1365 min,730 min
95,2,800 min,35 min
69,1,925 min,135 min
124,2,955 min,20 min
110,2,1105 min,30 min
142,1,725 min,1215 min
99,2,990 min,20 min
204,2,515 min,25 min
29,1,465 min,10 min
201,1,985 min,490 min
79,2,1180 min,30 min
34,1,1105 min,360 min
21,1,430 min,660 min
3,1,755 min,190 min
116,2,1060 min,25 min
22,2,880 min,15 min
90,1,1085 min,65 min
58,2,1225 min,20 min
171,2,995 min,20 min
205,1,550 min,430 min
192,1,955 min,50 min
187,1,790 min,3185 min
151,2,805 min,20 min
133,1,870 min,7405 min
