Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P93C3,2,13:15,00:20
P156C10,2,12:10,00:30
P1C1,2,13:25,00:20
P71C5,2,22:20,01:15
P34C11,2,13:55,01:00
P22C7,2,18:40,00:20
P44C4,2,11:10,00:30
P79C6,2,17:10,00:25
P89C2,2,16:20,00:30
P115C12,2,14:40,00:50
P93C4,2,13:40,00:20
P148C7,2,14:40,00:20
P49C8,2,11:50,01:00
P190C11,2,16:50,00:35
P9C3,2,17:50,01:00
P145C7,2,21:00,00:20
P92C9,2,15:50,00:50
P119C5,2,16:25,02:30
P33C6,2,12:25,01:20
P47C4,2,10:45,00:50
P173C10,2,22:40,01:30
P208C4,2,15:55,00:20
P72C12,2,12:55,00:50
P150C3,2,13:40,01:55
P189C10,2,12:45,00:25
P193C2,2,15:15,00:25
P19C12,2,10:35,01:30
P11C4,2,17:20,00:35
P38C11,2,15:35,00:20
P189C9,2,17:35,00:20
P23C6,2,03:25,00:30
P92C12,2,15:45,00:55
P205C6,2,12:55,00:25
P113C11,2,15:20,00:25
P148C6,2,19:40,00:30
P73C1,2,19:30,00:25
P147C5,2,07:20,02:30
P179C1,2,12:20,00:30
P5C6,2,12:00,00:20
P160C2,2,16:55,00:25
P211C8,2,15:50,00:30
P159C8,2,15:50,00:20
P66C4,2,07:40,01:45
P170C2,2,09:30,01:55
P25C3,2,18:10,01:05
P97C6,2,14:20,01:15
P194C2,2,11:50,01:05
P68C8,2,21:50,01:05
P67C7,2,15:25,00:50
P30C3,2,12:10,00:30
P5C8,2,18:30,00:25
P145C2,2,15:35,00:35
P51C4,2,18:40,00:50
P63C4,2,14:50,01:35
P105C3,2,10:50,02:10
P13C11,2,06:35,00:25
P120C5,2,18:10,01:30
P34C3,2,21:15,01:25
P123C2,2,07:55,00:25
P10RC1,2,14:35,00:30
P23C12,2,20:55,00:30
P90C7,2,14:50,01:35
P213C12,2,13:15,00:25
P211C11,2,16:45,01:30
P13C3,2,06:45,02:05
P112C12,2,12:50,01:15
P138C6,2,09:15,00:40
P108C12,2,22:00,00:45
P200C2,2,17:55,00:40
P122C1,2,10:45,02:25
P191C5,2,11:00,00:20
P31C4,2,18:40,00:40
P31C8,2,11:45,00:30
P171C6,2,22:25,01:50
P87C2,2,11:05,01:00
P37C5,2,17:25,00:20
P196C5,2,12:40,00:40
P77C11,2,11:05,00:25
P157C10,2,14:35,00:40
P153C2,2,22:55,01:25
P185C12,2,13:00,00:20
P130C4,2,13:35,01:10
P157C7,2,12:50,01:05
P209C7,2,17:10,01:30
P63C5,2,13:10,02:00
P188C11,2,16:40,02:10
P92C4,2,09:45,02:20
P202C4,2,21:00,01:10
P137C3,2,06:05,00:50
P129C7,2,14:05,00:25
P26C12,2,05:45,02:20
P199C3,2,18:20,00:30
P96C1,2,15:00,02:20
P215C7,2,15:10,01:30
P88C5,2,14:30,00:20
P55C2,2,18:25,00:25
P189C5,2,11:05,00:40
P118C5,2,18:05,01:00
P1C7,2,14:30,00:35
P127C2,2,18:50,00:35
P73C5,2,15:45,00:20
P109C9,2,14:25,02:20
P184C10,2,11:25,00:25
P78C10,2,17:30,00:30
P214C7,2,12:05,00:20
P127C12,2,13:40,00:20
P4C11,2,18:00,00:20
P193C4,2,14:05,00:30
P143C1,2,08:40,00:40
P206C6,2,12:35,00:40
P38C2,2,09:45,01:30
P30C10,2,21:00,00:45
P193C6,2,10:10,02:00
P143C11,2,15:40,00:45
P15C11,2,14:10,00:20
P156C4,2,15:10,01:05
P155C12,2,10:35,01:40
P211C2,2,13:55,00:40
P147C3,2,13:25,01:05
P28C5,2,08:15,02:15
P5C7,2,16:55,00:20
P7C9,2,18:20,00:30
P9C2,2,18:50,00:25
P57C4,2,10:40,02:30
P177C7,2,12:20,00:20
P110C10,2,15:45,00:20
P113C3,2,09:30,00:50
P174C1,2,11:05,02:25
P28C4,2,20:15,00:35
P64C1,2,04:50,01:00
P118C12,2,17:10,00:30
P199C8,2,18:30,00:30
P114C6,2,10:40,01:35
P5C5,2,11:40,00:20
P164C3,2,19:50,00:20
P53C8,2,17:55,01:40
P165C3,2,12:10,01:25
P83C4,2,19:05,00:20
P177C2,2,16:20,01:00
P153C4,2,17:50,00:20
P214C4,2,14:10,01:15
P30C4,2,18:50,01:25
P14C9,2,12:25,01:05
P27C8,2,18:55,01:10
P11C12,2,12:15,01:00
P25C2,2,14:20,00:40
P52C2,2,20:55,01:30
P145C9,2,17:15,00:20
P113C6,2,12:45,01:15
P4C3,2,14:30,00:40
P16C10,2,19:45,01:50
P197C8,2,19:05,00:35
P114C9,2,15:25,00:25
P46C1,2,07:15,01:55
P57C9,2,15:25,00:55
P151C9,2,07:55,00:40
P43C8,2,06:35,00:20
P116C11,2,23:20,01:30
P197C7,2,20:25,00:50
P172C9,2,14:15,02:15
P54C5,2,14:55,00:55
P101C3,2,20:15,00:35
P123C6,2,13:50,00:20
P168C3,2,15:20,02:20
P34C8,2,13:10,00:20
P5C4,2,05:50,01:00
P16C5,2,15:20,02:20
P99C8,2,18:35,00:20
P120C9,2,12:30,00:45
P114C1,2,12:55,00:40
P69C10,2,18:50,00:25
P199C9,2,17:25,00:35
P115C11,2,17:00,00:25
P80C9,2,15:05,01:30
P110C9,2,16:35,02:25
P150C9,2,13:45,02:30
P133C5,2,19:45,00:25
P60C6,2,16:15,00:20
P15C8,2,21:40,00:40
P207C5,2,17:45,02:25
P125C3,2,14:05,01:30
P46C10,2,21:05,00:20
P151C8,2,09:20,00:40
P201C2,2,19:05,00:20
P58C6,2,10:55,00:20
P160C6,2,12:40,01:00
P41C10,2,18:05,00:20
P126C7,2,09:50,01:00
P105C6,2,23:10,01:00
P185C2,2,14:25,00:45
P58C11,2,21:00,00:20
P15C6,2,15:40,00:40
P146C11,2,13:15,00:40
P154C4,2,17:55,01:00
P180C10,2,17:30,01:50
P209C4,2,16:20,00:30
P4C6,2,15:55,00:20
P52C9,2,16:25,00:25
P121C1,2,18:30,00:30
P189C7,2,12:15,00:35
P207C4,2,11:25,00:20
P110C6,2,16:30,00:30
P182C7,2,21:25,00:50
P126C1,2,11:50,00:40
P81C6,2,14:20,00:30
P98C1,2,14:45,00:20
P118C6,2,20:10,00:55
P211C5,2,13:45,00:55
P183C12,2,01:20,02:20
P199C2,2,12:25,00:35
P82C2,2,15:35,00:20
P191C1,2,16:55,01:25
P36C12,2,14:10,00:40
P27C10,2,15:10,01:05
P29C4,2,12:40,00:20
P101C1,2,15:00,00:25
P5C9,2,15:55,01:10
P186C12,2,06:35,01:05
P163C2,2,12:25,01:15
P4C7,2,11:10,00:20
P37C3,2,04:00,00:20
P70C12,2,21:25,01:30
P28C6,2,11:35,01:35
P158C10,2,14:05,00:20
P214C1,2,08:00,00:35
P184C12,2,09:50,00:50
P113C8,2,12:25,00:25
P173C5,2,05:55,00:25
P165C6,2,06:40,01:20
P177C9,2,20:50,00:50
P92C7,2,19:40,01:30
P107C4,2,12:30,00:30
P206C5,2,15:50,01:35
P62C9,2,02:50,01:00
P97C8,2,12:30,00:20
P116C2,2,15:50,00:30
P4C8,2,15:50,02:20
P115C1,2,12:40,00:25
P87C10,2,12:35,00:25
P157C4,2,16:40,01:10
